Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
2,1,Dahomey,H,1,13,15,0,28,N
2,1,Dahomey,L,2,30,13,0,43,N
2,1,Dahomey,H,3,11,10,1,22,N
2,1,Dahomey,L,4,5,11,0,16,N
2,2,Dahomey,H,1,13,9,0,22,N
2,2,Dahomey,L,2,20,17,0,37,N
2,2,Dahomey,H,3,8,9,2,19,N
2,2,Dahomey,L,4,13,11,1,25,N
2,3,Dahomey,H,1,20,9,0,29,N
2,3,Dahomey,L,2,24,12,0,36,N
2,3,Dahomey,H,3,13,12,0,25,N
2,3,Dahomey,L,4,5,6,0,11,N
2,4,Dahomey,L,1,14,8,0,22,N
2,4,Dahomey,H,2,17,15,0,32,N
2,4,Dahomey,L,3,12,8,1,21,N
2,4,Dahomey,H,4,9,6,0,15,N
2,5,Dahomey,L,1,6,14,0,20,N
2,5,Dahomey,H,2,15,14,2,31,N
2,5,Dahomey,L,3,15,12,0,27,N
2,5,Dahomey,H,4,5,7,0,12,N
2,6,Dahomey,L,1,10,4,0,14,N
2,6,Dahomey,H,2,12,8,1,21,N
2,6,Dahomey,L,3,13,14,0,27,N
2,6,Dahomey,H,4,6,10,0,16,N
2,7,Sweden,H,1,11,10,0,21,N
2,7,Sweden,L,2,17,6,0,23,N
2,7,Sweden,H,3,10,5,0,15,N
2,7,Sweden,L,4,6,13,0,19,N
2,8,Sweden,H,1,3,7,0,10,N
2,8,Sweden,L,2,3,1,7,11,N
2,8,Sweden,H,3,3,2,1,6,N
2,8,Sweden,L,4,7,4,0,11,N
2,9,Sweden,H,1,3,13,0,16,N
2,9,Sweden,L,2,3,3,7,13,N
2,9,Sweden,H,3,6,6,0,12,N
2,9,Sweden,L,4,7,6,0,13,N
2,10,Sweden,L,1,10,7,0,17,N
2,10,Sweden,H,2,6,8,1,15,N
2,10,Sweden,L,3,9,11,1,21,N
2,10,Sweden,H,4,14,12,2,28,N
2,11,Sweden,L,1,5,9,0,14,N
2,11,Sweden,H,2,15,14,0,29,N
2,11,Sweden,L,3,17,15,0,32,N
2,11,Sweden,H,4,8,9,0,17,N
2,12,Sweden,L,1,5,6,0,11,N
2,12,Sweden,H,2,0,1,0,1,N
2,12,Sweden,L,3,0,2,0,2,N
2,12,Sweden,H,4,0,0,0,0,N
2,13,Israel,H,1,6,14,2,22,N
2,13,Israel,L,2,9,16,3,28,N
2,13,Israel,H,3,NA,NA,NA,NA,NA
2,13,Israel,L,4,NA,NA,NA,NA,NA
2,14,Israel,H,1,11,13,2,26,N
2,14,Israel,L,2,14,15,0,29,N
2,14,Israel,H,3,16,13,2,31,N
2,14,Israel,L,4,21,18,0,39,N
2,15,Israel,H,1,12,8,1,21,N
2,15,Israel,L,2,14,16,0,30,N
2,15,Israel,H,3,13,15,0,28,N
2,15,Israel,L,4,12,15,0,27,N
2,16,Israel,L,1,4,7,0,11,N
2,16,Israel,H,2,9,18,0,27,N
2,16,Israel,L,3,14,20,0,34,N
2,16,Israel,H,4,14,19,0,33,N
2,17,Israel,L,1,5,4,0,9,N
2,17,Israel,H,2,10,11,1,22,N
2,17,Israel,L,3,20,9,1,30,N
2,17,Israel,H,4,6,9,0,15,N
2,18,Israel,L,1,3,6,0,9,N
2,18,Israel,H,2,10,16,0,26,N
2,18,Israel,L,3,15,12,0,27,N
2,18,Israel,H,4,7,9,0,16,N
2,19,Brownsville,H,1,15,14,0,29,N
2,19,Brownsville,L,2,14,13,0,27,N
2,19,Brownsville,H,3,8,7,3,18,N
2,19,Brownsville,L,4,5,7,2,14,N
2,20,Brownsville,H,1,8,7,0,15,N
2,20,Brownsville,L,2,2,8,0,10,N
2,20,Brownsville,H,3,5,2,5,12,N
2,20,Brownsville,L,4,6,3,4,13,N
2,21,Brownsville,H,1,8,7,0,15,N
2,21,Brownsville,L,2,7,5,0,12,N
2,21,Brownsville,H,3,3,2,3,8,N
2,21,Brownsville,L,4,2,6,1,9,N
2,22,Brownsville,L,1,19,12,0,31,N
2,22,Brownsville,H,2,8,16,0,24,N
2,22,Brownsville,L,3,5,5,1,11,N
2,22,Brownsville,H,4,7,3,0,10,N
2,23,Brownsville,L,1,13,13,0,26,N
2,23,Brownsville,H,2,7,8,3,18,N
2,23,Brownsville,L,3,4,9,4,17,N
2,23,Brownsville,H,4,0,0,0,0,N
2,24,Brownsville,L,1,18,16,0,34,N
2,24,Brownsville,H,2,5,5,4,14,N
2,24,Brownsville,L,3,5,5,0,10,N
2,24,Brownsville,H,4,1,1,0,2,N
2,25,Barcelona,H,1,12,13,0,25,N
2,25,Barcelona,L,2,16,19,0,35,N
2,25,Barcelona,H,3,5,11,3,19,N
2,25,Barcelona,L,4,3,3,4,10,N
2,26,Barcelona,H,1,4,12,0,16,N
2,26,Barcelona,L,2,6,8,1,15,N
2,26,Barcelona,H,3,6,12,1,19,N
2,26,Barcelona,L,4,2,2,0,4,N
2,27,Barcelona,H,1,10,9,0,19,N
2,27,Barcelona,L,2,14,14,1,29,N
2,27,Barcelona,H,3,14,18,0,32,N
2,27,Barcelona,L,4,10,14,0,24,N
2,28,Barcelona,L,1,5,5,1,11,N
2,28,Barcelona,H,2,3,7,4,14,N
2,28,Barcelona,L,3,10,13,1,24,N
2,28,Barcelona,H,4,7,7,2,16,N
2,29,Barcelona,L,1,17,12,0,29,N
2,29,Barcelona,H,2,13,11,1,25,N
2,29,Barcelona,L,3,5,4,0,9,N
2,29,Barcelona,H,4,1,2,10,13,N
2,30,Barcelona,L,1,0,0,4,4,N
2,30,Barcelona,H,2,11,8,0,19,N
2,30,Barcelona,L,3,6,11,0,17,N
2,30,Barcelona,H,4,7,9,2,18,N
3,31,Dahomey,L,1,7,3,4,14,N
3,31,Dahomey,H,2,11,4,1,16,N
3,31,Dahomey,L,3,10,13,0,23,N
3,31,Dahomey,H,4,11,10,0,21,N
3,32,Dahomey,L,1,10,9,0,19,N
3,32,Dahomey,H,2,13,12,0,25,N
3,32,Dahomey,L,3,12,8,0,20,N
3,32,Dahomey,H,4,11,18,0,29,N
3,33,Dahomey,L,1,13,13,1,27,N
3,33,Dahomey,H,2,14,9,0,23,N
3,33,Dahomey,L,3,13,20,0,33,N
3,33,Dahomey,H,4,8,11,0,19,N
3,34,Dahomey,L,1,13,14,0,27,N
3,34,Dahomey,H,2,12,8,0,20,N
3,34,Dahomey,L,3,15,10,0,25,N
3,34,Dahomey,H,4,7,10,0,17,N
3,35,Dahomey,L,1,16,5,1,22,N
3,35,Dahomey,H,2,10,11,0,21,N
3,35,Dahomey,L,3,NA,NA,NA,NA,NA
3,35,Dahomey,H,4,NA,NA,NA,NA,NA
3,36,Dahomey,H,1,10,13,0,23,N
3,36,Dahomey,L,2,6,9,3,18,N
3,36,Dahomey,H,3,9,13,2,24,N
3,36,Dahomey,L,4,17,11,0,28,N
3,37,Dahomey,H,1,12,15,0,27,N
3,37,Dahomey,L,2,17,7,0,24,N
3,37,Dahomey,H,3,15,13,1,29,N
3,37,Dahomey,L,4,8,9,1,18,N
3,38,Dahomey,H,1,23,12,3,38,N
3,38,Dahomey,L,2,21,24,2,47,N
3,38,Dahomey,H,3,23,22,1,46,N
3,38,Dahomey,L,4,15,11,0,26,N
3,39,Dahomey,H,1,10,10,0,20,Y
3,39,Dahomey,L,2,0,0,0,0,Y
3,39,Dahomey,H,3,0,0,0,0,Y
3,39,Dahomey,L,4,0,0,0,0,Y
3,40,Dahomey,H,1,18,14,0,32,N
3,40,Dahomey,L,2,16,12,1,29,N
3,40,Dahomey,H,3,14,9,0,23,N
3,40,Dahomey,L,4,7,5,2,14,N
3,41,Sweden,L,1,14,12,0,26,N
3,41,Sweden,H,2,13,12,0,25,N
3,41,Sweden,L,3,9,18,0,27,N
3,41,Sweden,H,4,6,10,0,16,N
3,42,Sweden,L,1,22,22,1,45,N
3,42,Sweden,H,2,11,19,0,30,N
3,42,Sweden,L,3,16,19,0,35,N
3,42,Sweden,H,4,NA,NA,NA,NA,NA
3,43,Sweden,L,1,9,27,2,38,N
3,43,Sweden,H,2,18,14,0,32,N
3,43,Sweden,L,3,21,17,0,38,N
3,43,Sweden,H,4,16,18,0,34,N
3,44,Sweden,L,1,9,14,1,24,N
3,44,Sweden,H,2,15,14,2,31,N
3,44,Sweden,L,3,13,23,0,36,N
3,44,Sweden,H,4,7,9,2,18,N
3,45,Sweden,L,1,18,10,0,28,N
3,45,Sweden,H,2,11,16,0,27,N
3,45,Sweden,L,3,18,21,0,39,N
3,45,Sweden,H,4,18,9,0,27,N
3,46,Sweden,H,1,16,10,0,26,N
3,46,Sweden,L,2,13,17,1,31,N
3,46,Sweden,H,3,21,15,0,36,N
3,46,Sweden,L,4,17,14,2,33,N
3,47,Sweden,H,1,8,8,11,27,N
3,47,Sweden,L,2,16,17,0,33,N
3,47,Sweden,H,3,21,8,1,30,N
3,47,Sweden,L,4,13,9,1,23,N
3,48,Sweden,H,1,23,10,0,33,N
3,48,Sweden,L,2,12,16,0,28,N
3,48,Sweden,H,3,15,13,0,28,N
3,48,Sweden,L,4,14,13,0,27,N
3,49,Sweden,H,1,15,15,2,32,N
3,49,Sweden,L,2,22,26,4,52,N
3,49,Sweden,H,3,18,17,0,35,N
3,49,Sweden,L,4,25,16,0,41,N
3,50,Sweden,H,1,5,4,5,14,N
3,50,Sweden,L,2,9,7,0,16,N
3,50,Sweden,H,3,10,9,0,19,N
3,50,Sweden,L,4,11,8,2,21,N
3,51,Israel,L,1,18,23,1,42,N
3,51,Israel,H,2,20,13,0,33,N
3,51,Israel,L,3,17,13,0,30,N
3,51,Israel,H,4,4,9,1,14,N
3,52,Israel,L,1,26,15,0,41,N
3,52,Israel,H,2,19,17,0,36,N
3,52,Israel,L,3,18,17,0,35,N
3,52,Israel,H,4,9,15,0,24,N
3,53,Israel,L,1,18,16,0,34,N
3,53,Israel,H,2,15,14,0,29,N
3,53,Israel,L,3,15,18,0,33,N
3,53,Israel,H,4,8,8,0,16,N
3,54,Israel,L,1,15,11,0,26,N
3,54,Israel,H,2,15,8,1,24,N
3,54,Israel,L,3,4,7,0,11,N
3,54,Israel,H,4,5,7,0,12,N
3,55,Israel,L,1,22,16,0,38,N
3,55,Israel,H,2,15,25,0,40,N
3,55,Israel,L,3,29,22,1,52,N
3,55,Israel,H,4,13,16,0,29,N
3,56,Israel,H,1,20,15,2,37,N
3,56,Israel,L,2,30,12,2,44,N
3,56,Israel,H,3,18,15,1,34,N
3,56,Israel,L,4,22,22,0,44,N
3,57,Israel,H,1,11,10,1,22,N
3,57,Israel,L,2,19,11,0,30,N
3,57,Israel,H,3,12,10,1,23,N
3,57,Israel,L,4,11,7,0,18,N
3,58,Israel,H,1,3,7,5,15,N
3,58,Israel,L,2,13,10,0,23,N
3,58,Israel,H,3,12,7,0,19,N
3,58,Israel,L,4,8,7,3,18,N
3,59,Israel,H,1,12,11,2,25,N
3,59,Israel,L,2,13,11,0,24,N
3,59,Israel,H,3,7,8,0,15,N
3,59,Israel,L,4,12,8,0,20,N
3,60,Israel,H,1,11,17,2,30,N
3,60,Israel,L,2,8,11,0,19,N
3,60,Israel,H,3,12,12,0,24,N
3,60,Israel,L,4,8,10,0,18,N
3,61,Brownsville,L,1,16,12,0,28,N
3,61,Brownsville,H,2,15,15,0,30,N
3,61,Brownsville,L,3,8,14,3,25,N
3,61,Brownsville,H,4,10,14,0,24,N
3,62,Brownsville,L,1,12,14,1,27,N
3,62,Brownsville,H,2,15,20,1,36,N
3,62,Brownsville,L,3,18,13,1,32,N
3,62,Brownsville,H,4,4,6,0,10,N
3,63,Brownsville,L,1,10,14,3,27,N
3,63,Brownsville,H,2,18,9,1,28,N
3,63,Brownsville,L,3,8,9,1,18,N
3,63,Brownsville,H,4,5,8,0,13,N
3,64,Brownsville,L,1,5,1,0,6,N
3,64,Brownsville,H,2,0,2,0,2,Y
3,64,Brownsville,L,3,0,0,0,0,Y
3,64,Brownsville,H,4,0,0,0,0,Y
3,65,Brownsville,L,1,12,13,2,27,N
3,65,Brownsville,H,2,12,12,0,24,N
3,65,Brownsville,L,3,17,16,0,33,N
3,65,Brownsville,H,4,0,0,0,0,N
3,66,Brownsville,H,1,3,1,1,5,N
3,66,Brownsville,L,2,3,3,0,6,N
3,66,Brownsville,H,3,3,1,0,4,N
3,66,Brownsville,L,4,0,0,0,0,N
3,67,Brownsville,H,1,21,20,0,41,N
3,67,Brownsville,L,2,17,28,1,46,N
3,67,Brownsville,H,3,14,16,1,31,N
3,67,Brownsville,L,4,14,17,0,31,N
3,68,Brownsville,H,1,16,18,1,35,N
3,68,Brownsville,L,2,23,23,1,47,N
3,68,Brownsville,H,3,17,8,0,25,N
3,68,Brownsville,L,4,9,12,1,22,N
3,69,Brownsville,H,1,10,7,0,17,N
3,69,Brownsville,L,2,9,10,1,20,N
3,69,Brownsville,H,3,8,15,0,23,N
3,69,Brownsville,L,4,16,16,0,32,N
3,70,Brownsville,H,1,12,7,1,20,N
3,70,Brownsville,L,2,NA,NA,NA,NA,NA
3,70,Brownsville,H,3,NA,NA,NA,NA,NA
3,70,Brownsville,L,4,NA,NA,NA,NA,NA
3,71,Barcelona,L,1,3,7,1,11,Y
3,71,Barcelona,H,2,0,0,0,0,N
3,71,Barcelona,L,3,0,0,0,0,N
3,71,Barcelona,H,4,0,0,0,0,N
3,72,Barcelona,L,1,14,17,0,31,N
3,72,Barcelona,H,2,14,17,0,31,N
3,72,Barcelona,L,3,13,24,1,38,N
3,72,Barcelona,H,4,8,13,0,21,N
3,73,Barcelona,L,1,5,1,5,11,N
3,73,Barcelona,H,2,5,4,0,9,N
3,73,Barcelona,L,3,0,0,0,0,N
3,73,Barcelona,H,4,0,0,0,0,N
3,74,Barcelona,L,1,19,15,0,34,N
3,74,Barcelona,H,2,12,17,1,30,N
3,74,Barcelona,L,3,23,17,0,40,N
3,74,Barcelona,H,4,18,23,0,41,N
3,75,Barcelona,L,1,25,22,0,47,N
3,75,Barcelona,H,2,19,14,0,33,N
3,75,Barcelona,L,3,8,13,0,21,N
3,75,Barcelona,H,4,2,1,0,3,N
3,76,Barcelona,H,1,14,14,3,31,N
3,76,Barcelona,L,2,13,15,2,30,N
3,76,Barcelona,H,3,12,3,4,19,N
3,76,Barcelona,L,4,9,9,1,19,N
3,77,Barcelona,H,1,10,18,4,32,N
3,77,Barcelona,L,2,17,28,0,45,N
3,77,Barcelona,H,3,11,13,0,24,N
3,77,Barcelona,L,4,14,22,0,36,N
3,78,Barcelona,H,1,7,16,0,23,N
3,78,Barcelona,L,2,16,27,4,47,N
3,78,Barcelona,H,3,14,14,0,28,N
3,78,Barcelona,L,4,22,21,0,43,N
3,79,Barcelona,H,1,9,18,0,27,N
3,79,Barcelona,L,2,21,17,0,38,N
3,79,Barcelona,H,3,13,16,0,29,N
3,79,Barcelona,L,4,23,18,1,42,N
3,80,Barcelona,H,1,20,8,0,28,N
3,80,Barcelona,L,2,16,13,1,30,N
3,80,Barcelona,H,3,9,10,1,20,N
3,80,Barcelona,L,4,20,14,0,34,N
4,81,Dahomey,H,1,14,13,0,27,N
4,81,Dahomey,L,2,26,22,0,48,N
4,81,Dahomey,H,3,15,11,0,26,N
4,82,Dahomey,H,1,18,12,0,30,N
4,82,Dahomey,L,2,26,20,0,46,N
4,82,Dahomey,H,3,11,17,0,28,N
4,83,Dahomey,H,1,14,10,0,24,N
4,83,Dahomey,L,2,22,17,0,39,N
4,83,Dahomey,H,3,13,12,0,25,N
4,84,Dahomey,L,1,4,13,1,18,N
4,84,Dahomey,H,2,8,4,0,12,N
4,84,Dahomey,L,3,15,8,0,23,N
4,85,Dahomey,L,1,13,8,1,22,N
4,85,Dahomey,H,2,13,10,0,23,N
4,85,Dahomey,L,3,9,12,0,21,N
4,86,Dahomey,L,1,21,11,0,32,N
4,86,Dahomey,H,2,4,10,0,14,N
4,86,Dahomey,L,3,6,10,0,16,N
4,87,Sweden,H,1,9,4,0,13,N
4,87,Sweden,L,2,5,7,0,12,N
4,87,Sweden,H,3,14,19,0,33,N
4,88,Sweden,H,1,10,12,0,22,N
4,88,Sweden,L,2,6,5,0,11,N
4,88,Sweden,H,3,7,3,0,10,N
4,89,Sweden,H,1,11,4,0,15,N
4,89,Sweden,L,2,11,7,0,18,N
4,89,Sweden,H,3,4,7,0,11,N
4,90,Sweden,L,1,14,11,0,25,N
4,90,Sweden,H,2,8,6,1,15,N
4,90,Sweden,L,3,0,0,0,0,Y
4,91,Sweden,L,1,8,10,0,18,N
4,91,Sweden,H,2,17,6,0,23,N
4,91,Sweden,L,3,11,10,0,21,N
4,92,Sweden,L,1,37,39,0,76,N
4,92,Sweden,H,2,21,21,1,43,N
4,92,Sweden,L,3,20,25,0,45,N
4,93,Israel,H,1,18,23,1,42,N
4,93,Israel,L,2,22,27,1,50,N
4,93,Israel,H,3,19,16,0,35,N
4,94,Israel,H,1,15,17,0,32,N
4,94,Israel,L,2,18,19,0,37,N
4,94,Israel,H,3,7,9,0,16,N
4,95,Israel,H,1,13,11,1,25,N
4,95,Israel,L,2,29,19,0,48,N
4,95,Israel,H,3,10,17,0,27,N
4,96,Israel,L,1,15,19,0,34,N
4,96,Israel,H,2,18,13,2,33,N
4,96,Israel,L,3,17,19,1,37,N
4,97,Israel,L,1,6,14,2,22,N
4,97,Israel,H,2,9,12,0,21,N
4,97,Israel,L,3,13,15,0,28,N
4,98,Israel,L,1,8,8,1,17,N
4,98,Israel,H,2,16,7,1,24,N
4,98,Israel,L,3,15,9,0,24,N
4,99,Brownsville,H,1,12,20,0,32,N
4,99,Brownsville,L,2,19,17,0,36,N
4,99,Brownsville,H,3,13,14,0,27,N
4,100,Brownsville,H,1,11,12,3,26,N
4,100,Brownsville,L,2,10,21,0,31,N
4,100,Brownsville,H,3,27,15,0,42,N
4,101,Brownsville,H,1,10,9,1,20,N
4,101,Brownsville,L,2,19,15,0,34,N
4,101,Brownsville,H,3,15,19,0,34,N
4,102,Brownsville,L,1,8,17,1,26,N
4,102,Brownsville,H,2,7,9,0,16,N
4,102,Brownsville,L,3,7,12,0,19,N
4,103,Brownsville,L,1,8,12,1,21,N
4,103,Brownsville,H,2,8,3,2,13,N
4,103,Brownsville,L,3,6,4,0,10,N
4,104,Brownsville,L,1,11,7,0,18,N
4,104,Brownsville,H,2,10,13,0,23,N
4,104,Brownsville,L,3,9,8,0,17,N
4,105,Barcelona,H,1,18,16,0,34,N
4,105,Barcelona,L,2,16,14,1,31,N
4,105,Barcelona,H,3,6,15,1,22,N
4,106,Barcelona,H,1,11,20,0,31,N
4,106,Barcelona,L,2,14,18,2,34,N
4,106,Barcelona,H,3,16,10,2,28,N
4,107,Barcelona,H,1,15,21,1,37,N
4,107,Barcelona,L,2,25,11,0,36,N
4,107,Barcelona,H,3,11,15,0,26,N
4,108,Barcelona,L,1,12,7,2,21,N
4,108,Barcelona,H,2,14,13,0,27,N
4,108,Barcelona,L,3,9,18,0,27,N
4,109,Barcelona,L,1,16,21,3,40,N
4,109,Barcelona,H,2,16,18,0,34,N
4,109,Barcelona,L,3,15,18,1,34,N
4,110,Barcelona,L,1,7,7,1,15,N
4,110,Barcelona,H,2,14,13,2,29,N
4,110,Barcelona,L,3,23,25,0,48,N
5,111,Dahomey,L,1,10,11,0,21,N
5,111,Dahomey,H,2,10,27,1,38,N
5,111,Dahomey,L,3,20,25,0,45,N
5,111,Dahomey,H,4,12,14,0,26,Y
5,112,Dahomey,L,1,3,3,0,6,N
5,112,Dahomey,H,2,15,16,0,31,N
5,112,Dahomey,L,3,32,26,0,58,N
5,112,Dahomey,H,4,16,18,0,34,N
5,113,Dahomey,H,1,14,15,3,32,N
5,113,Dahomey,L,2,29,26,0,55,N
5,113,Dahomey,H,3,20,29,0,49,N
5,113,Dahomey,L,4,15,17,0,32,N
5,114,Dahomey,H,1,16,11,0,27,N
5,114,Dahomey,L,2,39,35,1,75,N
